path,groupBy
MSWB,0
MSWB.1-PBA,2
MSWB.4-M1,0
MSWB.5-DHB,0
MSWB.5-DHB.1-L42Csec1,2
MSWB.5-DHB.1-L42Csec2,2
MSWB.5-DHB.1-L42Csec2.38-T2C.L2C,2
MSWB.5-DHB.2-T2BA.L2BAsec1,2
MSWB.5-DHB.2-T2BA.L2BAsec2,2
MSWB.5-DHB.3-T1A.L1A,2
MSWB.5-DHB.4-T1DA.L1DA,2
MSWB.5-DHB.5-T2A.L2A,2
MSWB.5-DHB.6-T2DA.L2DA,2
MSWB.5-DHB.9-T2CA.L2CA,2
MSWB.5-DHB.10-T1BA.L1BA,2
MSWB.6-DE,0
MSWB.6-DE.1-LE3,2
MSWB.6-DE.1-LE3A,2
MSWB.6-DE.2-LE2,2
MSWB.6-DE.2-LE2A,2
MSWB.6-DE.3-LE1,2
MSWB.6-DE.3-LE1A,2
MSWB.6-DE.5-TODE.ODE,2
MSWB.6-DE.6-TKE.PKE,2
MSWB.6-DE.8-PMEsec1,2
MSWB.6-DE.8-PMEsec1.17-TME.PE,2
MSWB.6-DE.8-PMEsec2,2
MSWB.7-DG,0
MSWB.7-DG.1-P4Gsec1,2
MSWB.7-DG.1-P4Gsec2,2
MSWB.7-DG.2-L4GC,2
MSWB.7-DG.2-L4GC.37A-TGC.LGCsec1,2
MSWB.7-DG.2-L4GC.37A-TGC.LGCsec1.9-LGC-1-1,2
MSWB.7-DG.2-L4GC.37A-TGC.LGCsec2,2
MSWB.7-DG.2-L4GC.37A-TGC.LGCsec3,2
MSWB.7-DG.3-L4G1sec1,2
MSWB.7-DG.3-L4G1sec1.20-TGD.LG1sec1,2
MSWB.7-DG.3-L4G1sec1.20-TGD.LG1sec2,2
MSWB.7-DG.3-L4G1sec2,2
MSWB.8-DL,0
MSWB.8-DL.1-PK,0
MSWB.8-DL.1-PK.12-TK.PKA,1
MSWB.8-DL.3-L42D,2
MSWB.8-DL.3-L42D.29-T2D.L2D,2
MSWB.8-DL.4-L4G,2
MSWB.8-DL.4-L4G.34-TG.LGsec1,2
MSWB.8-DL.4-L4G.34-TG.LGsec2,2
MSWB.8-DL.5-L42B,2
MSWB.8-DL.5-L42B.33-T2B.L2B,2
MSWB.8-DL.7-L41D,2
MSWB.8-DL.7-L41D.25-T1D.L1D,2
MSWB.8-DL.8-L42,2
MSWB.8-DL.8-L42.34-T2.L2,2
MSWB.8-DL.9-L4GB,2
MSWB.8-DL.9-L4GB.23-TGB.LGB,2
MSWB.8-DL.9-L4GB.23-TGB.LGBsec2,2
MSWB.8-DL.10-L41C,2
MSWB.8-DL.10-L41C.22-T1C.L1C,2
MSWB.8-DL.10-L41C.22-T1C.L1CA,2
MSWB.8-DL.12-LGB,0
MSWB.8-DL.12-LGB.5-TLGC.LGC-Left,1
MSWB.8-DL.12-LGB.5-TLGC.LGC-Right,1
MSWB.8-DL.12-LGB.6-TLGD.LGD,2
MSWB.8-DL.13-L41B,2
MSWB.8-DL.13-L41B.26-T1B.L1B,2
MSWB.8-DL.14-L41,2
MSWB.8-DL.14-L41.27-T1.L1,2
MSWB.9-AMDP,0
MSWB.9-AMDP.3-HSHTA,0
MSWB.9-AMDP.4-HSHTB,0
MSWB.9-AMDP.6-HSHLB,1
MSWB.9-AMDP.7-HSHLA,1
MSWB.9-AMDP.7-HSHLA.100-TCC.HSLAsec1,1
MSWB.9-AMDP.7-HSHLA.100-TCC.HSLAsec2,1
